Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Keywords,Technologies,Tags
Drugs.com,drugs.com,Biotechnology Research,"Mumbai, India",201-500,https://www.linkedin.com/company/appollo-pharmac,Drugs.com is a pharmaceuticals company that provides a comprehensive drug database and medical information.,,"pharmaceuticals, healthcare, medicine, pharmacy, medical information, drug database","Google Analytics, Prebid, Google Tag Manager",""
Thermo Fisher Scientific,thermofisher.com,Biotechnology Research,"Waltham, Massachusetts, United States",10001+,https://www.linkedin.com/company/thermo-fisher-scientific,Thermo Fisher Scientific is a biotechnology company that provides scientific instruments and laboratory equipment for the life sciences and healthcare industries.,public company,"life sciences, biotechnology, healthcare, scientific instruments, laboratory equipment","Zurb Foundation, Akamai, Bootstrap, Lodash, Optimizely, Jquery, F5 Bigip, Sitecatalyst, Videojs, Adobe Dtm, Adobe Experience Manager",""
Agilent Technologies,agilent.com,Biotechnology Research,"Santa Clara, California, United States",10001+,https://www.linkedin.com/company/agilent-technologies,Agilent Technologies is a provider of laboratory equipment and analytical instruments for life sciences and scientific research.,public company,"laboratory equipment, life sciences, biotechnology, analytical instruments, scientific research","Ruxit, Jquery, Jquery Ui, Hogan.Js, Openssl, Google Tag Manager, Datatables, Act On, Apache, Unix, Dynatrace, Oracle Weblogic Server, Varnish, Oracle Dynamic Monitoring Service, Hsts, Bootstrap, Google Font Api",""
Roche,roche.com,Biotechnology Research,Switzerland,10001+,https://www.linkedin.com/company/roche,"Roche is a pharmaceutical company that specializes in healthcare, diagnostics, and biotechnology.",public company,"pharmaceuticals, biotechnology, healthcare, diagnostics, research and development","Webpack, Amazon Web Services, Cloudflare, Storyblok, Amazon Cloudfront, React, Gatsby, Google Tag Manager, Apache Tomcat, Twitter, Youtube, Handlebars, F5 Bigip, Recaptcha, Facebook, Typekit, Jquery, Google Analytics, Moment.Js, Hammer.Js",""
23andMe,23andme.com,Biotechnology Research,"Sunnyvale, California, United States",501-1000,https://www.linkedin.com/company/23andme,23andMe is a genetics company that offers personalized DNA testing services for health and ancestry insights.,public company,"genetics, health, biotechnology, personalized medicine, dna testing","Lodash, Next.Js, Webpack, Node.Js, Jquery, New Relic, Optimizely, Cloudflare, Google Tag Manager, Facebook, Heap, React, Google Analytics, Criteo",""
Gilead Sciences,gilead.com,Biotechnology Research,"Foster City, California, United States",10001+,https://www.linkedin.com/company/gilead-sciences,Gilead Sciences is a pharmaceutical company that specializes in drug development in the biotechnology and healthcare sector.,public company,"pharmaceuticals, biotechnology, healthcare, drug development, life sciences","Windows Server, Twitter, Slick, Sitecore, Bootstrap, Gsap, Microsoft Asp.Net, Azure, Polyfill, Jquery, Iis, Google Tag Manager, Google Analytics, Cloudflare, Nginx, Youtube",""
Genentech,gene.com,Biotechnology Research,"South San Francisco, California, United States",10001+,https://www.linkedin.com/company/genentech,Genentech is a biotechnology company that specializes in pharmaceuticals and healthcare products.,privately held,"biotechnology, pharmaceuticals, healthcare, life sciences","Google Tag Manager, Jquery, Modernizr, F5 Bigip, Cloudflare",""
Sigma-Aldrich,sigmaaldrich.com,Biotechnology Research,"Burlington, Massachusetts, United States",10001+,https://www.linkedin.com/company/milliporesigma,,public company,,"Adobe Experience Manager, Next.Js, Google Tag Manager, Ruxit, Node.Js, React, Visual Website Optimizer, Webpack, Google Analytics, Google Analytics Enhanced Ecommerce, Jquery, Zurb Foundation, Ibm Coremetrics, Underscore.Js, Nginx, Facebook, Lodash",""
Biotechnology Innovation Organization,bio.org,Biotechnology Research,"Washington, District of Columbia, United States",51-200,https://www.linkedin.com/company/biotechnology-innovation-organization,Biotechnology Innovation Organization is a biotechnology association that focuses on innovation and research in the life sciences and healthcare industry.,non profit,"biotechnology, life sciences, healthcare, innovation, research, pharmaceuticals","Tally, Php, Varnish, Cloudflare, Jquery, Addtoany, Jquery Ui, Google Tag Manager, Nginx, Acquia Cloud Platform, Amazon Web Services, Youtube, New Relic, Drupal, Moment.Js, Sizmek, Facebook, Google Analytics, Marketo",""
Illumina,illumina.com,Biotechnology Research,"San Diego, California, United States",5001-10000,https://www.linkedin.com/company/illumina,Illumina is a biotechnology company that specializes in DNA sequencing and genetic testing.,public company,"biotechnology, genomics, life sciences, dna sequencing, genetic testing","Scrollreveal, Adobe Experience Manager, Angular, Bootstrap, Google Analytics, Pardot, Nginx, Jquery, Youtube",""
Amgen,amgen.com,Biotechnology Research,"Thousand Oaks, California, United States",10001+,https://www.linkedin.com/company/amgen,Amgen is a biopharmaceutical company that focuses on developing innovative biotechnology and pharmaceutical solutions.,public company,"biopharmaceutical, healthcare, biotechnology, pharmaceuticals","Amazon Elb, Amazon Web Services, Webtrends, Youtube, Zurb Foundation, Windows Server, Microsoft Asp.Net, Modernizr, Iis, Google Tag Manager, Typekit, Jquery, Google Analytics, Sitecore",""
Asambeauty,asambeauty.com,Cosmetics,"Unterföhring, Germany",501-1000,https://www.linkedin.com/company/bhi-beauty-health-investment-group,Asambeauty is a beauty and skincare company that offers cosmetics and personal care products.,public company,"beauty, skincare, cosmetics, personal care, wellness","Contentful, Google Analytics, Facebook, Criteo, Adroll, Google Tag Manager, Cloudflare, Google Font Api, Caddy, Apache, Openssl, Mysql, Google Analytics Enhanced Ecommerce, Lodash, Gojs, Magento, Amazon Web Services, Php, Amazon Ec2, Recaptcha, React, Hsts, Userway, Nginx, Amazon Cloudfront",""
Depixus,depixus.com,Biotechnology Research,"Paris, France",51-200,https://www.linkedin.com/company/depixus,Depixus is a biotechnology company that offers a powerful MAGNA technology based on magnetic force spectroscopy to decode disease mechanisms and facilitate the development of more effective therapies.,privately held,"biotechnology, life sciences, biomolecular interactions, disease mechanisms, therapeutics, genetic decoding","Google Maps, Google Analytics, Php, Google Font Api, Animate.Css, Bootstrap, Font Awesome, Modernizr, Nginx, Owl Carousel, Mediaelement.Js, Apache, Twitter Emoji (Twemoji), Jquery Migrate, Revslider, Wordpress, Http/3, Cloudflare, Typekit, Jquery, Litespeed, Mysql, Jquery Ui, Recaptcha, Yoast Seo, Google Tag Manager, Linkedin",""
The Jackson Laboratory,jax.org,Biotechnology Research,"Bar Harbor, Maine, United States",1001-5000,https://www.linkedin.com/company/jacksonlaboratory,The Jackson Laboratory is a biotechnology company specializing in genetics research and laboratory services.,non profit,"biotechnology, research, genetics, laboratory services, biomedical, life sciences","Sitecore, Google Tag Manager, Crazy Egg, Google Analytics, Statcounter, Iis, Facebook, Jquery, Windows Server, Azure, Azure Front Door, Microsoft Asp.Net",""
PerkinElmer,perkinelmer.com,Biotechnology Research,"Shelton, Connecticut, United States",5001-10000,https://www.linkedin.com/company/perkinelmer,"PerkinElmer is a Life Sciences company that provides a wide range of healthcare solutions including diagnostic equipment, analytical instruments, and laboratory solutions.",privately held,"life sciences, healthcare, diagnostic equipment, analytical instruments, laboratory solutions","Facebook, Google Tag Manager, Google Analytics, Iis, Windows Server, Twitter, Google Font Api, Fancybox, Jquery, Sdl Tridion, F5 Bigip, Bootstrap, Google Analytics Enhanced Ecommerce, Handlebars, Mustache, Visual Website Optimizer, Ember.Js, Owl Carousel, Datatables, Modernizr, Crazy Egg, Font Awesome",""
IDEXX,idexx.com,Biotechnology Research,"Westbrook, Maine, United States",10001+,https://www.linkedin.com/company/idexx-laboratories,IDEXX Laboratories is a veterinary diagnostics company that provides a wide range of animal health services including laboratory testing and veterinary software solutions.,public company,"veterinary diagnostics, animal health services, laboratory testing, veterinary software solutions","Hsts, Gunicorn, Python, Amazon Cloudfront, Google Tag Manager, Amazon Web Services, Amazon Alb, Google Font Api, Google Analytics, Bootstrap, Jquery, New Relic, F5 Bigip, Hotjar, Facebook, Cloudflare",""
QIAGEN,qiagen.com,Biotechnology Research,"Venlo, Netherlands",5001-10000,https://www.linkedin.com/company/qiagen,"QIAGEN is a biotechnology company that specializes in molecular diagnostics, sample preparation, and genomics for precision medicine.",public company,"biotechnology, life sciences, molecular diagnostics, sample preparation, genomics, precision medicine","Underscore.Js, Backbone.Js, Modernizr, Windows Server, Iis, Microsoft Asp.Net, Hotjar, Adobe Dtm, Hammer.Js, Sitecatalyst, Mediaelement.Js, Moment.Js, Jquery Ui, Hsts, Azure, Azure Front Door, Jquery, Google Analytics, Lodash, Facebook, Glyphicons, Recaptcha, Bootstrap, Sap Commerce Cloud, Webpack, Zone.Js, Angular",""
Urban Decay,urbandecay.com,Cosmetics,"Newport Beach, California, United States",201-500,https://www.linkedin.com/company/urban-decay-cosmetics,Urban Decay is a beauty company that offers a wide range of cosmetics and skincare products known for their bold and edgy colors.,public company,"beauty, cosmetics, makeup, skincare","Google Analytics, Cloudflare, Amazon S3, Salesforce Commerce Cloud, Amazon Web Services, Google Tag Manager",""
Institute for Systems Biology,isbscience.org,Biotechnology Research,"Seattle, Washington, United States",51-200,https://www.linkedin.com/company/isbsci,Institute for Systems Biology is a biotechnology organization that specializes in systems biology research and bioinformatics.,non profit,"biotechnology, life sciences, systems biology, research, bioinformatics","Wp Engine, Google Analytics, Modernizr, Jquery, Wordpress, Google Font Api, Jquery Ui, Facebook, Recaptcha, Php, Mysql, Nginx, Cloudflare, Jquery Migrate, Youtube, Yoast Seo, Font Awesome, Datatables, Twitter Emoji (Twemoji)",""
Genomics England,genomicsengland.co.uk,Biotechnology Research,"London, United Kingdom",201-500,https://www.linkedin.com/company/genomics-england,Genomics England is a healthcare company that specializes in genomic data analysis and genetic testing.,government agency,"genomics, healthcare, biotechnology, research, genetic testing, genomic data","Jquery, Craft Cms, Gsap, Yii, Mysql, Jquery Ui, Jquery Migrate, Animate.Css, Ubuntu, Twitter Emoji (Twemoji), Google Font Api, Fancybox, Facebook, Bootstrap, Font Awesome, Php, Wordpress, Cloudflare, Nginx, Youtube, Google Analytics, Prism, Google Tag Manager",""
Bio-Rad Laboratories,bio-rad.com,Biotechnology Research,"Hercules, California, United States",5001-10000,https://www.linkedin.com/company/bio-rad,Bio-Rad Laboratories is a biotechnology company that specializes in providing a wide range of products and solutions for medical research and laboratory applications.,public company,"biotechnology, life sciences, medical research, laboratory equipment","Openssl, New Relic, Jquery Ui, Webtrends, Bootstrap, Apache, Google Font Api, Google Analytics, Adobe Dtm, Google Tag Manager, Swfobject, Centos, Marketo, Php, Drupal, Jquery, React, Varnish, Nginx",""
Sage Therapeutics,sagerx.com,Biotechnology Research,"Cambridge, Massachusetts, United States",201-500,https://www.linkedin.com/company/sage-therapeutics,Sage Therapeutics is a biopharmaceutical company that specializes in developing treatments in the field of healthcare and therapeutics.,public company,"pharmaceuticals, biotechnology, healthcare, therapeutics","Google Analytics, Facebook, Jquery, Font Awesome, Swiftype, Php, Yoast Seo, Mysql, Modernizr, Oracle Dynamic Monitoring Service, Wordpress, Bootstrap, Sentry, Amazon Cloudfront, Java, Amazon Web Services, Hsts, Http/3, Recurly, Adobe Experience Manager, Google Tag Manager, Jquery Migrate, Google Font Api",""
Puls 4,puls4.com,Cosmetics,Austria,201-500,https://www.linkedin.com/company/puls4-pro-sieben-austria,Puls 4 is a television network that provides entertainment through broadcasting.,self employed,"television, media, broadcasting, entertainment","Varnish, Youtube, React, Centos, Babel, Lodash, Apache, Recaptcha, Google Analytics, Bootstrap, Amazon Web Services, Node.Js, Webpack, Next.Js, Amazon Cloudfront",""
Biogen,biogen.com,Biotechnology Research,"Cambridge, Massachusetts, United States",5001-10000,https://www.linkedin.com/company/biogen-,Biogen is a biotechnology company that focuses on developing therapies for neurological and neurodegenerative diseases.,public company,"biotechnology, pharmaceuticals, healthcare, life sciences","Apache Tomcat, Mod Jk, Openssl, Apache, Adobe Experience Manager, Facebook, Underscore.Js, Jquery Ui, Zurb Foundation, Typekit, Adobe Dtm, Sitecatalyst, Modernizr, Google Analytics, Lodash, Gutenberg, Java, Hsts, Youtube, Amazon Web Services, Jquery, Google Tag Manager, Amazon Alb",""
Shire,shire.com,Biotechnology Research,"Tokyo, Japan",10001+,https://www.linkedin.com/company/shire,Shire is a pharmaceutical company that specializes in biotechnology and healthcare products.,public company,"pharmaceuticals, biotechnology, healthcare","React, Next.Js, Google Tag Manager, Bootstrap, Jquery, Node.Js, Webpack, Mouse Flow, Google Analytics, Recaptcha, Sitecore, Moment.Js, Handlebars, Google Plus, Azure, Jquery Ui, Cloudflare, Microsoft Asp.Net, Iis, Windows Server",""
Calico,calicolabs.com,Biotechnology Research,"South San Francisco, California, United States",201-500,https://www.linkedin.com/company/calico-life-sciences-llc,Calico is a biotechnology company that focuses on research and development in the field of life sciences.,privately held,"biotechnology, life sciences, research and development, healthcare","Google Analytics, Nginx, Mysql, Yoast Seo, Google Tag Manager, Wordpress, Gatsby, Webpack, Php, React",""
J. Craig Venter Institute,jcvi.org,Biotechnology Research,"La Jolla, California, United States",201-500,https://www.linkedin.com/company/j-craig-venter-institute,"J. Craig Venter Institute is a research institute specializing in biotechnology, genomics, and bioinformatics.",non profit,"biotechnology, genomics, research institute, bioinformatics, life sciences","Jquery, Google Tag Manager, Php, Apache, Drupal, Google Analytics, Mautic, Openssl",""
Moroccanoil,moroccanoil.com,Cosmetics,"New York City, New York, United States",501-1000,https://www.linkedin.com/company/moroccanoil,Moroccanoil is a beauty company that specializes in luxury haircare products infused with argan oil.,privately held,"beauty, haircare, cosmetics, personal care, luxury products","Slick, Mysql, Bootstrap, Php, Jquery Migrate, Magento, Font Awesome, Underscore.Js, Jquery, Requirejs, Google Font Api, Videojs, Backbone.Js, Adroll, Typekit, Google Analytics, Mixitup, Cloudflare, Hsts, Google Tag Manager, Usablenet, Http/3, Shopify, Icegram, Jsdelivr, Welcart, Privy, New Relic, Jquery Ui, Facebook, Criteo, Zendesk Chat, Polyfill",""
Addgene,addgene.org,Biotechnology Research,"Watertown, Massachusetts, United States",51-200,https://www.linkedin.com/company/addgene,Addgene is a biotechnology company that provides research reagents and resources for the scientific community.,non profit,"biotechnology, research, genetics, life sciences, scientific community","Twitter, Google Analytics, New Relic, Jquery, Modernizr, Django, Http/3, Google Tag Manager, Cloudflare Browser Insights, Cloudflare, Amazon Web Services, Python, Amazon S3, Awesomplete, Bootstrap, Requirejs, Google Analytics Enhanced Ecommerce",""
Sartorius,sartorius.com,Biotechnology Research,"Göttingen, Germany",10001+,https://www.linkedin.com/company/sartorius,Sartorius is a biotechnology company that specializes in providing laboratory equipment and bioprocessing solutions for the life sciences and pharmaceutical industries.,public company,"life sciences, biotechnology, laboratory equipment, bioprocessing, pharmaceuticals","Google Tag Manager, Ruxit, Vue.Js",""
John Paul Mitchell Systems,paulmitchell.com,Cosmetics,"90213, Beverly Hills, California, United States",501-1000,https://www.linkedin.com/company/john-paul-mitchell-systems,John Paul Mitchell Systems is a beauty company that specializes in hair care products.,privately held,"beauty, hair care, cosmetics, hair products","Owl Carousel, Platform.Sh, Moment.Js, Animate.Css, Jquery Migrate, Jquery Ui, Google Font Api, Magento, New Relic, Flexslider, Php, Requirejs, Osano, Hsts, Paypal, Bootstrap, Underscore.Js, Google Tag Manager, Google Analytics Enhanced Ecommerce, Google Analytics, Mysql, Facebook, Jquery",""
ATCC,atcc.org,Biotechnology Research,"Manassas, Virginia, United States",501-1000,https://www.linkedin.com/company/atcc,ATCC is a biotechnology company that provides a wide range of authenticated cell cultures and microbiology products for research purposes.,non profit,"biotechnology, life sciences, research, cell cultures, microbiology","Windows Server, Microsoft Asp.Net, Webpack, Iis, Http/3, Jquery, Cloudflare Browser Insights, Google Tag Manager, Cloudflare Bot Management, Google Analytics Enhanced Ecommerce, Google Analytics, Facebook, Fancybox, Jquery Migrate, Recaptcha, Cloudflare, Font Awesome, Google Font Api, Hotjar, Underscore.Js, Sitecore, New Relic",""
Waters,waters.com,Biotechnology Research,"Milford, Massachusetts, United States",5001-10000,https://www.linkedin.com/company/waters,Waters is a provider of analytical instruments and laboratory solutions for research and development.,public company,"analytical instruments, scientific equipment, laboratory solutions, research and development","Google Analytics, Webpack, React, Marketo, Hammer.Js, Adobe Experience Manager, Adobe Dtm, Jquery, Appnexus",""
Alexion,alexion.com,Biotechnology Research,"Boston, Massachusetts, United States",1001-5000,https://www.linkedin.com/company/alexion-pharmaceuticals,"Alexion is a pharmaceutical company that specializes in biotechnology and healthcare, focusing on drug development.",public company,"pharmaceuticals, biotechnology, healthcare, medicine, drug development","Windows Server, Amazon Cloudfront, Amazon Web Services, Sitecore, Iis, Google Font Api, Microsoft Asp.Net, Google Analytics, Jquery Cdn, Amazon Elb, Google Tag Manager, Jquery, Birdeye",""
Eurofins,eurofins.com,Biotechnology Research,"Luxembourg, Luxembourg",10001+,https://www.linkedin.com/company/eurofins,Eurofins Scientific is a laboratory services company specializing in providing testing services for the life sciences and biotechnology industries.,public company,"life sciences, biotechnology, testing services, laboratory services","Select2, Amazon Elb, Amazon Web Services, Google Analytics, Hotjar, Iis, Windows Server, Jquery, Google Tag Manager, Recaptcha",""
Promega,promega.com,Biotechnology Research,"Madison, Wisconsin, United States",1001-5000,https://www.linkedin.com/company/promega,"Promega is a biotechnology company that provides solutions in genomics, cell biology, and molecular biology for research purposes.",privately held,"biotechnology, life sciences, research, genomics, cell biology, molecular biology","Recaptcha, Jquery, Google Tag Manager, Microsoft Asp.Net, Google Font Api, Windows Server, Sitecore, Font Awesome, Iis, Webpack, Swfobject, Modernizr, F5 Bigip, Azure",""
Galaxy Project,galaxyproject.org,Biotechnology Research,"3203 SE Woodstock Blvd, 97202, Portland, Oregon, United States",51-200,https://www.linkedin.com/company/galaxy-project,"Galaxy Project is an open-source platform for FAIR data analysis that enables users to use tools from various domains, run code in interactive environments, and manage data through sharing.",non profit,"open-source platform, fair data analysis, graphical web interface, interactive environments, data management","Webpack, Vue.Js, Gridsome, Nginx, Google Analytics, Twitter, Google Tag Manager, Lodash, Bootstrap, Jquery, Ubuntu",""
